onset	duration	sample	value	prompt_text	stage_name	posture
82.1685	25.092	164337	handwriting_prompt	m	n/a	n/a
102.1625	73.873	204325	stage_start	n/a	characters_with_digits	seated-on-leg
107.262	1.4025	214524	handwriting_prompt	h	n/a	n/a
108.6645	1.392	217329	handwriting_prompt	n	n/a	n/a
110.0565	1.4965	220113	handwriting_prompt	→	n/a	n/a
111.555	1.889	223110	handwriting_prompt	p	n/a	n/a
113.4445	1.4705	226889	handwriting_prompt	w	n/a	n/a
114.9325	1.402	229865	handwriting_prompt	o	n/a	n/a
116.3375	2.2175	232675	handwriting_prompt	t	n/a	n/a
118.555	1.586	237110	handwriting_prompt	v	n/a	n/a
120.143	1.426	240286	handwriting_prompt	z	n/a	n/a
121.5735	1.917	243147	handwriting_prompt	5	n/a	n/a
123.4915	1.714	246983	handwriting_prompt	3	n/a	n/a
125.207	1.4665	250414	handwriting_prompt	0	n/a	n/a
126.675	1.4885	253350	handwriting_prompt	7	n/a	n/a
128.166	2.167	256332	handwriting_prompt	a	n/a	n/a
130.3365	1.3725	260673	handwriting_prompt	e	n/a	n/a
131.7265	1.602	263453	handwriting_prompt	k	n/a	n/a
133.3285	1.4695	266657	handwriting_prompt	u	n/a	n/a
134.7995	1.4495	269599	handwriting_prompt	'	n/a	n/a
136.2495	1.334	272499	handwriting_prompt	b	n/a	n/a
137.606	1.4375	275212	handwriting_prompt	f	n/a	n/a
139.066	1.534	278132	handwriting_prompt	i	n/a	n/a
140.6015	1.4635	281203	handwriting_prompt	6	n/a	n/a
142.065	1.673	284130	handwriting_prompt	9	n/a	n/a
143.739	2.102	287478	handwriting_prompt	j	n/a	n/a
145.841	1.391	291682	handwriting_prompt	.	n/a	n/a
147.233	1.4945	294466	handwriting_prompt	2	n/a	n/a
148.728	1.412	297456	handwriting_prompt	x	n/a	n/a
150.1415	1.4295	300283	handwriting_prompt	←	n/a	n/a
151.573	1.7715	303146	handwriting_prompt	s	n/a	n/a
153.346	1.542	306692	handwriting_prompt	4	n/a	n/a
154.888	2.084	309776	handwriting_prompt	q	n/a	n/a
156.974	1.6845	313948	handwriting_prompt	r	n/a	n/a
158.659	1.583	317318	handwriting_prompt	g	n/a	n/a
160.2435	2.188	320487	handwriting_prompt	l	n/a	n/a
162.4325	1.633	324865	handwriting_prompt	d	n/a	n/a
164.0675	2.037	328135	handwriting_prompt	8	n/a	n/a
166.1055	1.256	332211	handwriting_prompt	,	n/a	n/a
167.3655	1.949	334731	handwriting_prompt	1	n/a	n/a
169.316	1.665	338632	handwriting_prompt	c	n/a	n/a
170.9815	1.601	341963	handwriting_prompt	!	n/a	n/a
172.5865	1.6935	345173	handwriting_prompt	y	n/a	n/a
174.28	1.7575	348560	handwriting_prompt	?	n/a	n/a
176.037	27.0585	352074	stage_start	n/a	words	seated-on-leg
176.0375	4.636	352075	handwriting_prompt	what's	n/a	n/a
180.695	4.828	361390	handwriting_prompt	project,	n/a	n/a
185.5245	3.5465	371049	handwriting_prompt	quick.	n/a	n/a
189.0735	6.4465	378147	handwriting_prompt	paradox	n/a	n/a
195.522	4.3545	391044	handwriting_prompt	prize	n/a	n/a
199.878	3.2185	399756	handwriting_prompt	have	n/a	n/a
203.097	45.2115	406194	stage_start	n/a	words_with_backspace	seated-on-leg
203.098	7.9995	406196	handwriting_prompt	how'dlug←←←	n/a	n/a
211.1	8.3195	422200	handwriting_prompt	enq←←←just	n/a	n/a
219.421	8.1635	438842	handwriting_prompt	quietlywhe←←←	n/a	n/a
